Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,0.18,0.17,0.16,0.17,0.19,0.18,0.19,0.2,0.19,0.18,0.2,0.22
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE,NARE SUR,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.02
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE,UNDERRIVER,0.1,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.12,0.11,0.12,0.1
ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO,CASABE,0.68,0.79,0.78,0.63,0.68,0.6,0.53,0.59,0.6,0.59,0.58,0.54
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO,CASABE SUR,0.67,0.7,0.81,0.87,0.88,0.87,0.8,0.88,0.9,0.9,0.76,0.7
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,MAGDALENA MEDIO,PEÑAS BLANCAS,0.29,0.29,0.31,0.35,0.29,0.32,0.35,0.34,0.36,0.3,0.25,0.24
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,0.27,0.27,0.27,0.32,0.3,0.36,0.37,0.41,0.38,0.34,0.36,0.45
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,GALEMBO,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,MACANA,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,MATANEGRA OESTE,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO LIMÓN,0.98,1,1.41,1.37,1.16,1.21,1.42,1.73,1.69,1.69,1.7,1.77
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO YARUMAL,0.17,0.16,0.25,0.24,0.19,0.19,0.22,0.28,0.26,0.27,0.27,0.28
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,TONINA,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,ARAGUATO,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,BAYONERO,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,JIBA UNIFICADO,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,COSECHA,CANAGUEY,0.23,0.22,0.21,0.24,0.21,0.21,0.21,0.22,0.15,0.21,0.22,0.27
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,COSECHA,FINN,0,0,0,0,0,0,0,0,0,0,0,0.18
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,COSECHA,MORROCOY,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,COSECHA,REX NE,0,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,COSECHA,TERECAY,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.12,0.1,0.1,0.13
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO LIMÓN,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,REDONDO,0.05,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.06,0.05,0.05,0.06
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,REDONDO ESTE,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,RONDÓN,CAÑO RONDÓN,0.41,0.47,0.47,0.43,0.49,0.49,0.46,0.45,0.51,0.7,0.71,0.75
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),OCCIDENTAL DE COLOMBIA LLC,RONDÓN,CARICARE,0.95,0.98,0.94,1.01,0.92,0.98,1.07,1.12,1.14,1.17,1.08,1.27
ARAUCA,SARAVENA,6.906941714,-71.85070757,POINT (-71.85070757 6.906941714),ECOPETROL S.A.,ARAUCA,ARAUCA,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01
ARAUCA,TAME,6.390650479,-71.79178647,POINT (-71.79178647 6.390650479),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CAPACHOS,ANDINA,0,0,0,0,0,0,0,0,1.32,0.36,0.39,0.15
ARAUCA,TAME,6.390650479,-71.79178647,POINT (-71.79178647 6.390650479),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CAPACHOS,CAPACHOS,0.52,0,0.92,1.12,1.14,1.14,1.13,1.11,1.07,1.16,1.07,0.57
ATLANTICO,SABANALARGA,10.62250777,-74.95510542,POINT (-74.95510542 10.62250777),LEWIS ENERGY COLOMBIA INC,SSJN-1,BULLERENGUE,6.49,8.03,8.04,8.16,8.17,8.24,8.3,8.33,8.39,8.01,9.05,14.44
ATLANTICO,SABANALARGA,10.62250777,-74.95510542,POINT (-74.95510542 10.62250777),LEWIS ENERGY COLOMBIA INC,SSJN-1,POLLERA,0,0,0,0.01,0,0,0,0,0.06,0,0,0
CASANARE,MONTERREY,4.841308642,-72.8473434,POINT (-72.8473434 4.841308642),Frontera Energy Colombia Corp Sucursal Colombia,CANAGUARO,Canaguay,0,0,0,0,0,0,0,0,0.04,0.15,0.09,0.26
BOLIVAR,CANTAGALLO,7.239229146,-74.10014043,POINT (-74.10014043 7.239229146),ECOPETROL S.A.,MAGDALENA MEDIO,YARIGUÍ-CANTAGALLO,3.36,3.61,3.4,3.24,3.48,2.1,3.57,3.55,3.58,3.71,3.88,3.84
BOLIVAR,CICUCO,9.235268598,-74.68840962,POINT (-74.68840962 9.235268598),ECOPETROL S.A.,CICUCO BOQUETE,CICUCO,0.64,0.81,0.96,1.06,1.09,1.09,0,0,0,0,0,0
BOLIVAR,CICUCO,9.235268598,-74.68840962,POINT (-74.68840962 9.235268598),HOCOL S.A.,CICUCO BOQUETE,CICUCO,0,0,0,0,0,0,1.11,1.07,1.1,1.1,1.1,1.05
