Departamento,Municipio,Operadora,Campo,Contrato,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
ANTIOQUIA,PUERTO NARE,ECOPETROL S.A.,AREA TECA-COCORNA,OPERACION-DIRECTA ECOPETROL,0.256,0.229,0.23,0.22,0.222,0.226,0.227,0.211,0.213,0.216,0.207,0
ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE SUR,NARE,0.014,0.014,0.014,0.025,0.022,0.024,0.024,0.026,0.028,0.025,0.025,0.023
ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,UNDERRIVER,NARE,0.131,0.122,0.122,0.162,0.126,0.138,0.116,0.109,0.111,0.104,0.106,0.1
ANTIOQUIA,PUERTO TRIUNFO,ECOPETROL S.A.,AREA TECA-COCORNA,OPERACION-DIRECTA ECOPETROL,0.163,0.167,0.164,0.169,0.167,0.156,0.146,0.132,0.142,0.144,0.136,0
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,MAGDALENA MEDIO-CASABE,0.69,0.807,1.041,1.111,0.878,0.898,0.82,0.899,0.805,0,0.811,0.773
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE SUR,MAGDALENA MEDIO-CASABE,1.079,1.225,1.037,0.797,0.974,1.135,1.033,0.862,0.937,0,0.374,0.24
ANTIOQUIA,YONDO,ECOPETROL S.A.,PEÑAS BLANCAS,MAGDALENA MEDIO-CASABE,0.259,0.335,0.466,0.238,0.196,0.163,0.165,0.171,0.163,0,0.191,0.178
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CAÑO LIMÓN,CRAVO NORTE,1.683,1.499,1.85,1.65,1.593,1.178,0.059,0.203,1.289,1.284,1.048,0
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CAÑO YARUMAL,CRAVO NORTE,0.294,0.274,0.315,0.292,0.286,0.219,0.005,0.023,0.215,0.249,0.21,0.315
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,1.223,1.344,1.138,1.112,1.075,0.877,0,0.241,0.76,0.795,0.728,0
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,MATANEGRA OESTE,CHIPIRÓN,0.005,0.004,0.003,0.003,0.003,0.002,0,0,0.002,0.002,0.002,0.003
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,ARAGUATO,CHIPIRÓN,0.032,0.019,0.014,0.013,0.014,0.01,0,0.003,0.011,0.011,0.007,0.014
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CANAGUEY,COSECHA,0.248,0.228,0.219,0.276,0.328,0.26,0,0.094,0.284,0.355,0.338,0.324
