Departamento,Municipio,Operadora,Campo,Contrato,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
TOLIMA,ESPINAL,PACIFIC STRATUS ENERGY COLOMBIA CORP,ABANICO,ABANICO,0,0,0,0,0,0.169,0.158,0,0,0,0,0
TOLIMA,ESPINAL,PACIFIC STRATUS ENERGY COLOMBIA CORP,ABANICO,ABANICO,0.137,0.17,0.169,0.136,0.159,0,0,0.155,0.158,0.163,0.193,0.14
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,ABARCO,NARE,0.139,0.157,0.197,0.184,0.201,0.2,0.209,0.198,0.177,0.166,0.176,0.182
PUTUMAYO,SAN MIGUEL,ECOPETROL S.A.,ACAE SAN MIGUEL,ORITO,0.287,0.296,0.308,0.209,0.229,0,0,0,0,0,0,0
PUTUMAYO,SAN MIGUEL,ECOPETROL S.A.,ACAE SAN MIGUEL,ORITO,0,0,0,0,0,0.216,0.258,0.312,0.284,0.309,0.309,0.283
CESAR,SAN MARTÍN,GRAN TIERRA ENERGY COLOMBIA LTD,ACORDIONERO,MIDAS,0,0,0,0,0,0,0,2.283,2.56,2.696,3.303,4.615
CESAR,SAN MARTÍN,PETROLEOS DEL NORTE S.A,ACORDIONERO,MIDAS,0.792,0.878,0.874,1.187,1.217,0,0,0,0,0,0,0
CESAR,SAN MARTÍN,UNION TEMPORAL MIDAS,ACORDIONERO,MIDAS,0,0,0,0,0,1.479,1.717,0,0,0,0,0
CASANARE,SAN LUIS DE PALENQUE,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,ADALIA,LLA 30,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.011,0.011,0.013,0.014
SANTANDER,SIMACOTA,ECOPETROL S.A.,AGUAS BLANCAS,DE MARES,0.905,1.15,0,0,0.002,0.293,0.39,0.277,0.214,0.54,0.243,0.213
META,ACACIAS,ECOPETROL S.A.,AKACIAS,CPO 9,0.12,0.15,0.14,0.202,0.184,0.191,0.195,0.251,0.257,0.253,0.212,0.192
PUTUMAYO,PUERTO ASIS,GRAN TIERRA ENERGY COLOMBIA LTD,ALPHA,PUT-7,0.021,0,0,0,0,0,0,0,0,0,0,0
TOLIMA,PIEDRAS,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,AMBROSÍA,AMBROSÍA,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.015,0.012,0.012,0.016,0.015
SUCRE,SAN PEDRO,PACIFIC STRATUS ENERGY COLOMBIA CORP,APAMATE,LA CRECIENTE,0.012,0.761,0.148,0.171,0.172,0.039,0.023,0,0,0,0.004,0.003
META,VILLAVICENCIO,ECOPETROL S.A.,APIAY,APIAY,2.3,1.678,0.862,1.16,1.291,1.234,0.949,0.82,0.695,0.614,0.326,0.543
META,VILLAVICENCIO,ECOPETROL S.A.,APIAY ESTE,APIAY,0.083,0.25,0.242,0.116,0.094,0.074,0.071,0.145,0.275,0.239,0.25,0.416
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,ARAGUATO,CHIPIRÓN,0.01,0.009,0,0.005,0.005,0.004,0.004,0.006,0.007,0.007,0.008,0.008
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,ARDILLA,GUATIQUIA,0,0,0,0,0.09,0.112,0.103,0.089,0.079,0.082,0.076,0.055
ANTIOQUIA,PUERTO NARE,ECOPETROL S.A.,AREA TECA-COCORNA,OPERACION-DIRECTA ECOPETROL,0.189,0.174,0.17,0.165,0.145,0.14,0.141,0.148,0.147,0.147,0.151,0.155
ANTIOQUIA,PUERTO TRIUNFO,ECOPETROL S.A.,AREA TECA-COCORNA,OPERACION-DIRECTA ECOPETROL,0.118,0.116,0.108,0.109,0.137,0.142,0.134,0.125,0.104,0.099,0.103,0.102
CORDOBA,SAHAGUN,GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,ARIANNA,ESPERANZA,0.929,0.604,0.207,0.212,0.214,0.213,0.212,0.216,0.215,0.196,0.203,0.204
CESAR,ASTREA,ECOPETROL S.A.,ARJONA,CHIMICHAGUA,0,0,0,0,0,2.467,3.859,0,0,0,3.868,3.583
CESAR,ASTREA,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S.,ARJONA,CHIMICHAGUA,4.055,3.79,3.358,2.096,2.652,0,0,3.813,4.746,4.697,0,0
HUILA,AIPE,ECOPETROL S.A.,ARRAYÁN,PIJAO-POTRERILLO,0.141,0.143,0.144,0.14,0.16,0,0,0,0,0,0,0
HUILA,AIPE,ECOPETROL S.A.,ARRAYÁN,PIJAO-POTRERILLO,0,0,0,0,0,0.157,0.175,0.169,0.16,0.163,0.163,0.168
SANTANDER,SABANA DE TORRES,ECOPETROL S.A.,AULLADOR,PLAYON,0.027,0.023,0.007,0.027,0.195,0.191,0.138,0.107,0.131,0.116,0.113,0.104
META,VILLAVICENCIO,ECOPETROL S.A.,AUSTRAL,APIAY,0.146,0.048,0.093,0.079,0.064,0.109,0.011,0.03,0.038,0.025,0.026,0.021
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,AVISPA,GUATIQUIA,1.026,0.968,1,1.033,1.023,1.002,1.081,1.034,1.003,0.997,0.947,0.877
CASANARE,TRINIDAD,LEWIS ENERGY COLOMBIA INC,AZAFRÁN,GUACHIRIA SUR,0,0,0,0.001,0.001,0,0,0,0.009,0.01,0.01,0.011
CASANARE,PAZ DE ARIPORO,PACIFIC STRATUS ENERGY COLOMBIA CORP,AZOR,ARRENDAJO,0.004,0.004,0.005,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005
HUILA,AIPE,ECOPETROL S.A.,BALCÓN,PALERMO,0.445,0.449,0.478,0.467,0.473,0,0,0,0,0,0,0
HUILA,AIPE,ECOPETROL S.A.,BALCÓN,PALERMO,0,0,0,0,0,0.459,0.457,0.437,0.45,0.45,0.467,0.466
GUAJIRA,MANAURE,CHEVRON PETROLEUM COMPANY,BALLENA,GUAJIRA,25.87,38.886,45.519,45.555,38.386,35.783,34.72,40.372,38.831,35.162,37.097,35.529
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,BAYONERO,CHIPIRÓN,0.013,0.056,0.004,0.016,0.008,0.004,0.021,0.014,0.021,0.021,0.018,0.023
CASANARE,PAZ DE ARIPORO,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,BEGONIA,LLA 40,0.05,0.049,0.045,0.043,0.04,0.06,0.067,0.066,0.064,0.06,0.059,0.057
BOYACA,TOPAGA,UNION TEMPORAL OMEGA ENERGY,BOLÍVAR,BUENAVISTA,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,BOLIVAR NORTH WEST,BUENAVISTA,0,3.347,3.303,3.331,3.247,3.075,2.623,0,0,0,0,0
SANTANDER,RIONEGRO,ECOPETROL S.A.,BONANZA,PROVINCIA P NORTE,0,0,0,0,0,3.594,3.985,3.79,3.609,3.643,3.596,3.596
SANTANDER,RIONEGRO,ECOPETROL S.A.,BONANZA,PROVINCIA P SUR,3.672,3.176,3.456,3.465,3.501,0,0,0,0,0,0,0
SUCRE,OVEJAS,HOCOL S.A.,BONGA,SAMAN,2.524,6.843,6.063,6.831,5.639,6.716,6.636,6.342,2.122,6.44,6.488,5.659
BOLIVAR,TALAIGUA NUEVO,ECOPETROL S.A.,BOQUETE,CICUCO BOQUETE,0.047,0.032,0.032,0.038,0.046,0.038,0.036,0.046,0.037,0.016,0,0.01
CASANARE,YOPAL,COLOMBIA ENERGY DEVELOPMENT CO,BORAL,RIO VERDE,0,0,0,0,0,0,0.032,0.126,0.179,0.156,0.106,0.108
