Departamento,Municipio,Operadora,Campo,Contrato,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
HUILA,AIPE,ECOPETROL S.A.,BRISAS,PIJAO-POTRERILLO,0.015,0.019,0.027,0.029,0.029,0,0,0,0,0,0,0
HUILA,AIPE,ECOPETROL S.A.,BRISAS,PIJAO-POTRERILLO,0,0,0,0,0,0.025,0.021,0.022,0.021,0.023,0.02,0.021
ATLANTICO,SABANALARGA,LEWIS ENERGY COLOMBIA INC,BULLERENGUE,SSJN-1,3.206,2.352,1.473,1.15,1.102,1.96,0,2.038,5.039,4.667,6.982,8.143
BOYACA,PUERTO BOYACA,ECOPETROL S.A.,CAIPAL,PALAGUA,0.362,0.379,0.387,0.481,0.549,0.584,0.578,0.596,0.582,0.568,0.508,0.587
CASANARE,TAURAMENA,VERANO ENERGY (BARBADOS) LIMITED,CALONA,LLA 32,3.507,3.406,3.687,3.664,3.625,3.541,3.755,3.853,3.709,4.013,4.15,4.457
CASANARE,MANI,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CAMPO RICO,CAMPO RICO,0,0.001,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.006
CASANARE,OROCUE,COLOMBIA ENERGY DEVELOPMENT CO,CANACABARE,ALCARAVÁN,0,0,0,0,0,0.002,0.002,0.001,0.002,0.002,0.001,0.001
CASANARE,MONTERREY,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,Canaguay,CANAGUARO,1.07,1.048,0.918,0.713,0.329,0.037,0.009,0.12,0.109,0.318,0.443,0.219
CASANARE,TAURAMENA,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,Canaguay,CANAGUARO,0.07,0.039,0.086,0.081,0.049,0.03,0.088,0.074,0,0.015,0.078,0.077
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CANAGUEY,COSECHA,0.266,0,0.056,0.259,0.229,0.25,0.146,0.197,0.243,0.277,0.241,0.219
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CANDELILLA,GUATIQUIA,0.493,0.455,0.412,0.395,0.391,0.303,0.061,0.059,0.062,0.058,0.056,0.064
CORDOBA,SAHAGUN,GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,CAÑAFLECHA,ESPERANZA,0.008,0.007,0.007,0.007,0.009,0.007,0.008,0.007,0.007,0.009,0.007,0.007
CORDOBA,SAHAGUN,GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,CAÑAHUATE,ESPERANZA,0,0,0,0.491,0,0,0,0,0,0,0,0
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CAÑO LIMÓN,CRAVO NORTE,1.206,1.108,0.095,1.355,1.395,1.371,0.815,0.937,0.888,0.852,0.859,0.969
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CAÑO LIMÓN,CRAVO NORTE,0,0,0,0,0.004,0.003,0,0.002,0.002,0.002,0.002,0.003
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CAÑO RONDÓN,RONDÓN,0.443,0.46,0.121,0.605,0.483,0.425,0.39,0.561,0.428,0.402,0.417,0.429
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CAÑO YARUMAL,CRAVO NORTE,0.227,0.2,0.007,0.244,0.261,0.246,0.122,0.155,0.157,0.138,0.162,0.172
ARAUCA,TAME,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CAPACHOS,CAPACHOS,0,0,0,0,0,0,0,0,0,0.206,0.625,1.044
CESAR,LA JAGUA IBIRICO,DRUMMOND LTD,CAPORO,LA LOMA,0.098,0.097,0.095,0.094,0.093,0.09,0.094,0.083,0.085,0.055,0.087,0.077
MAGDALENA,SANTA ANA,PACIFIC STRATUS ENERGY COLOMBIA CORP,CAPURE,E&P GUAMA,0,0,0.007,0,0.014,0.005,0.001,0.001,0.001,0.001,0.001,0.001
META,PUERTO GAITAN,CEPSA COLOMBIA S.A.,CARACARA SUR A,CARACARA,0.874,0.848,0.871,0.896,0.898,0.842,0.151,0.176,0.223,0.232,0.262,0.263
META,PUERTO GAITAN,CEPSA COLOMBIA S.A.,CARACARA SUR B Y C,CARACARA,0.294,0.318,0.296,0.271,0.268,0.325,0.062,0.057,0.06,0.061,0.068,0.068
CESAR,AGUACHICA,LEWIS ENERGY COLOMBIA INC,CARAMELO,VMM 1,2.811,2.603,2.557,2.776,2.952,2.736,3.279,3.083,2.904,2.527,2.389,2.323
PUTUMAYO,ORITO,ECOPETROL S.A.,CARIBE,ORITO,0.512,0.513,0.506,0.489,0.516,0,0,0,0,0,0,0
PUTUMAYO,ORITO,ECOPETROL S.A.,CARIBE,ORITO,0,0,0,0,0,0.514,0.517,0.517,0.516,0.478,0.455,0.47
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CARICARE,RONDÓN,1.039,1.011,0.226,1.016,1.057,1.131,1.022,0.994,1.061,1.058,1.012,0.987
CASANARE,TAURAMENA,VERANO ENERGY (BARBADOS) LIMITED,CARMENTEA,LLA 32,0.102,0.101,0.096,0.096,0.086,0.081,0.081,0.077,0.075,0.076,0.075,0.074
CASANARE,PORE,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),CARUPANA,YAMU,0,0,0.009,0.008,0.017,0.025,0.023,0.088,0.023,0.021,0.014,0.014
CASANARE,VILLA NUEVA,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CARUTO,CORCEL,0.125,0.124,0.124,0.122,0.119,0.119,0.119,0.119,0.115,0.112,0.109,0.104
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,MAGDALENA MEDIO-CASABE,0.904,0.878,0.875,0.874,1.241,1.066,1.102,1.033,1.042,0.909,0.743,0.835
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE SUR,MAGDALENA MEDIO-CASABE,0.96,0.947,1.037,0.95,0.965,0.936,0.979,0.908,0.847,0.833,0.78,0.734
HUILA,NEIVA,ECOPETROL S.A.,CEBÚ,PIJAO-POTRERILLO,0.035,0.029,0.03,0.029,0.029,0,0,0,0,0,0,0
HUILA,NEIVA,ECOPETROL S.A.,CEBÚ,PIJAO-POTRERILLO,0,0,0,0,0,0.028,0.022,0.027,0.029,0.025,0.024,0.021
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CEIBO,GUATIQUIA,0.15,0.127,0.135,0.096,0.126,0.15,0.155,0.144,0.163,0.16,0.153,0.173
CASANARE,MANI,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CENTAURO SUR,CAMPO RICO,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
NORTE DE SANTANDER,CUCUTA,PETROSOUTH ENERGY CORPORATION SUCURSAL COLOMBIA,CERRITO,CERRITO,0,0,0,0,0,0.325,0.314,0,0,0,0,0
NORTE DE SANTANDER,CUCUTA,PACIFIC STRATUS ENERGY COLOMBIA CORP,CERRITO,CERRITO,0.328,0.331,0.327,0.342,0.334,0,0,0,0,0,0,0
NORTE DE SANTANDER,CUCUTA,PETROSOUTH ENERGY CORPORATION SUCURSAL COLOMBIA,CERRITO,CERRITO,0,0,0,0,0,0,0,0.315,0.31,0.309,0.314,0.332
NORTE DE SANTANDER,SARDINATA,WATTLE PETROLEUM COMPANY S.A.S,CERRO GORDO,CARBONERA,0.365,0.464,0.457,0.346,0,0,0,0,0.382,0.328,0.381,0.531
NORTE DE SANTANDER,SARDINATA,WELL LOGGING,CERRO GORDO,CARBONERA,0,0,0,0,0.407,0.33,0.365,0.38,0,0,0,0
HUILA,NEIVA,ECOPETROL S.A.,CHAPARRO,CAGUAN,0.346,0.17,0.006,0.005,0.005,0.002,0,0,0,0,0,0
TOLIMA,PURIFICACIÓN,HOCOL S.A.,CHENCHE,CHENCHE,0.015,0.012,0.012,0.011,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01
SANTANDER,CIMITARRA,MANSAROVAR ENERGY COLOMBIA LTD,CHICALA,NARE,0.001,0.001,0,0,0,0,0,0,0,0,0,0
META,ACACIAS,ECOPETROL S.A.,CHICHIMENE,CUBARRAL,4.198,6.424,4.543,5.265,5.729,0,0,0,0,0,0,0
META,GUAMAL,ECOPETROL S.A.,CHICHIMENE,CUBARRAL,0,0.33,0.401,0.114,0.105,0,0,0,0,0,0,0
META,ACACIAS,ECOPETROL S.A.,CHICHIMENE,CUBARRAL,0,0,0,0,0,5.371,5.862,6.388,5.681,4.569,4.258,3.578
META,GUAMAL,ECOPETROL S.A.,CHICHIMENE,CUBARRAL,0,0,0,0,0,0.063,0.056,0.017,0.017,0.016,0.053,0.249
META,ACACIAS,ECOPETROL S.A.,CHICHIMENE SW,CUBARRAL,0,0,0.009,0,0,0,0,0,0,0,0,0
META,GUAMAL,ECOPETROL S.A.,CHICHIMENE SW,CUBARRAL,2.101,2.535,2.268,3.906,3.393,0,0,0,0,0,0,0
META,ACACIAS,ECOPETROL S.A.,CHICHIMENE SW,CUBARRAL,0,0,0,0,0,0,0,0.001,0.002,0.006,0,0
META,GUAMAL,ECOPETROL S.A.,CHICHIMENE SW,CUBARRAL,0,0,0,0,0,3.116,3.205,3.182,2.975,1.699,1.766,1.853
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,0.773,0.82,0.076,0.419,0.4,0.352,0.245,0.336,0.352,0.348,0.316,0.274
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRÓN,CHIPIRÓN,0.024,0.019,0.002,0.01,0.004,0.004,0.004,0.006,0.007,0.008,0.015,0.02
GUAJIRA,MANAURE,CHEVRON PETROLEUM COMPANY,CHUCHUPA,GUAJIRA,225.776,241.715,247.535,251.965,245.162,232.559,219.154,246.174,252.267,243.432,254.186,240.923
CESAR,RIO DE ORO,GRAN TIERRA ENERGY COLOMBIA LTD,CHUIRA,MIDAS,0,0,0,0,0,0,0,0.04,0.038,0.02,0.012,0.01
CESAR,RIO DE ORO,PETROLEOS DEL NORTE S.A,CHUIRA,MIDAS,0.059,0.059,0.036,0.016,0.022,0,0,0,0,0,0,0
CESAR,RIO DE ORO,UNION TEMPORAL MIDAS,CHUIRA,MIDAS,0,0,0,0,0,0.022,0.031,0,0,0,0,0
PUTUMAYO,ORITO,ECOPETROL S.A.,CHURUYACO,ORITO,1.733,1.6,1.533,1.016,0.712,0,0,0,0,0,0,0
PUTUMAYO,ORITO,ECOPETROL S.A.,CHURUYACO,ORITO,0,0,0,0,0,0.446,1.591,1.51,1.591,1.325,0.779,0.742
BOLIVAR,CICUCO,ECOPETROL S.A.,CICUCO,CICUCO BOQUETE,0.878,0.923,0.922,0.937,0.942,1.024,0.986,0.983,0.964,0.999,1,0.825
BOLIVAR,TALAIGUA NUEVO,ECOPETROL S.A.,CICUCO,CICUCO BOQUETE,0.528,0.491,0.524,0.531,0.531,0.536,0.535,0.537,0.514,0.453,0.433,0.393
CORDOBA,SAHAGUN,CONOCOPHILLIPS COLOMBIA VENTURES LTD. SUCURSAL COLOMBIA,CLARINETE,VIM 5,8.404,10.669,10.751,11.971,13.68,16.316,2.645,1.308,5.861,10.808,10.814,10.989
SUCRE,LA UNION,CONOCOPHILLIPS COLOMBIA VENTURES LTD. SUCURSAL COLOMBIA,CLARINETE,VIM 5,9.081,9.876,8.467,11.31,13.757,12.216,8.307,12.093,5.34,7.585,7.275,8.553
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,COBRA,CORCEL,0.039,0.039,0.042,0.041,0.049,0.053,0.044,0.039,0.035,0.043,0.052,0.052
PUTUMAYO,PUERTO ASIS,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S.,COHEMBI,SURORIENTE,0.212,0.197,0.222,0.293,0.347,0.439,0.445,0.376,0.407,0.54,0.424,0.558
SANTANDER,RIONEGRO,GRAN TIERRA ENERGY COLOMBIA LTD,COLÓN,LA PALOMA,0,0,0,0,0,0,0,0.009,0.015,0.015,0.015,0.017
SANTANDER,RIONEGRO,PETROLEOS DEL NORTE S.A,COLÓN,LA PALOMA,0.006,0.005,0.005,0.009,0.019,0.02,0.014,0,0,0,0,0
SANTANDER,SAN VICENTE DE CHUCURI,ECOPETROL S.A.,COLORADO,DE MARES,0,0.158,0.225,0.199,0.198,0.182,0.226,0.21,0.17,0.198,0.233,0.21
CESAR,EL PASO,TEXICAN OIL LTD SUCURSAL EN COLOMBIA,COMPAE,MARACAS,2.98,2.986,2.774,2.99,1.929,1.405,1.593,1.266,0.897,0.775,0.758,0.618
PUTUMAYO,PENDIENTE CERTIFICADO IGAC,GRAN TIERRA ENERGY COLOMBIA LTD,CONFIANZA,PUT-7,0,0,0,0,0,0.031,0,0,0,0,0,0
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,CORAZÓN,CARARE LAS MONAS,0.167,0.166,0.157,0.148,0.146,0.157,0.157,0.166,0.158,0.158,0.154,0.151
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,CORAZÓN WEST,CARARE LAS MONAS,0.573,0.56,0.539,0.594,0.551,0.602,0.595,0.578,0.632,0.612,0.587,0.605
META,BARRANCA DE UPIA,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CORCEL A,CORCEL,0,0,0,0,0,0.016,0.028,0.051,0.061,0.065,0.082,0.085
META,BARRANCA DE UPIA,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CORCEL C,CORCEL,0.061,0.061,0.063,0.111,0.168,0.21,0.229,0.221,0.218,0.209,0.226,0.22
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CORCEL D,CORCEL,0.028,0.028,0.031,0.044,0.051,0.057,0.06,0.056,0.044,0.042,0.049,0.056
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CORCEL E,CORCEL,0.028,0.028,0.037,0.046,0.046,0.044,0.049,0.058,0.043,0.025,0.033,0.052
CASANARE,TRINIDAD,PERENCO COLOMBIA LIMITED,COREN,COROCORA,0.146,0.141,0.133,0.113,0.142,0.139,0.136,0.137,0.128,0.13,0.136,0.117
CASANARE,TRINIDAD,PERENCO COLOMBIA LIMITED,COROCORA,COROCORA,0.088,0.093,0.082,0.083,0.087,0.082,0.094,0.078,0.077,0.087,0.061,0.079
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,CORRALES,BUENAVISTA,0,5.715,5.177,4.96,4.741,5.41,5.743,8.587,8.48,8.262,8.247,8.019
CASANARE,TRINIDAD,PERENCO COLOMBIA LIMITED,CORSUR,COROCORA,0.016,0.016,0.016,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
PUTUMAYO,VILLAGARZON,GRAN TIERRA ENERGY COLOMBIA LTD,COSTAYACO,CHAZA,2.337,1.986,1.988,1.996,2.035,2.115,2.11,2.099,2.088,2.126,2.121,2.092
MAGDALENA,SANTA ANA,PACIFIC STRATUS ENERGY COLOMBIA CORP,COTORRA,E&P GUAMA,0.047,0.411,0.111,0.325,0.03,0.343,0.166,0.131,0.122,0.111,0.101,0.084
CASANARE,SAN LUIS DE PALENQUE,PERENCO COLOMBIA LIMITED,CRAVO ESTE,CASANARE,0.483,0.496,0.443,0.39,0.76,0.395,0.375,0.349,0.342,0.164,0.113,0.098
SANTANDER,SABANA DE TORRES,ECOPETROL S.A.,CRISTALINA,MAGDALENA MEDIO-CRISTALINA,0,0.014,0.02,0.02,0.02,0.02,0.019,0.017,0.006,0,0,0
CASANARE,PAZ DE ARIPORO,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA OESTE,LA CUERVA,0.054,0.049,0.051,0.051,0.051,0.051,0.051,0.052,0.051,0.049,0.049,0.048
CASANARE,PAZ DE ARIPORO,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA SUR,LA CUERVA,0,0,0,0,0,0,0,0,0,0,0.003,0.003
PUTUMAYO,PUERTO ASIS,GRAN TIERRA ENERGY COLOMBIA LTD,CUMPLIDOR,PUT-7,0.034,0.005,0,0,0,0.009,0.124,0.1,0,0,0,0
PUTUMAYO,PUERTO ASIS,GRAN TIERRA INTERNATIONAL (COLOMBIA) CORP,CUMPLIDOR,PUT-7,0,0,0,0,0,0,0,0,0.106,0.08,0.053,0.172
CASANARE,AGUAZUL,ECOPETROL S.A.,CUPIAGUA,ECOP-SDLA-OP-DIRECTA,445.294,431.186,426.501,409.565,401.222,0,0,0,0,0,0,0
CASANARE,AGUAZUL,ECOPETROL S.A.,CUPIAGUA,ECOP-SDLA-OP-DIRECTA,0,0,0,0,0,397.688,365.922,393.477,374.727,404.964,370.903,350.064
CASANARE,AGUAZUL,ECOPETROL S.A.,CUPIAGUA LIRIA,RECETOR,0,0,0,0,0,0,0,162.746,153.373,159.566,0,140.655
CASANARE,YOPAL,ECOPETROL S.A.,CUPIAGUA LIRIA,RECETOR,0,0,0,0,0,0,0,0,0,0,149.961,0
CASANARE,AGUAZUL,EQUION ENERGÍA LIMITED,CUPIAGUA LIRIA,RECETOR,170.315,180.546,173.105,165.255,159.31,173.252,0,0,0,0,0,0
CASANARE,YOPAL,EQUION ENERGÍA LIMITED,CUPIAGUA LIRIA,RECETOR,0,0,0,0,0,0,158.046,0,0,0,0,0
CASANARE,AGUAZUL,ECOPETROL S.A.,CUPIAGUA SUR,ECOP-SDLA-OP-DIRECTA,208.313,205.069,203.338,205.586,190.825,0,0,0,0,0,0,0
CASANARE,AGUAZUL,ECOPETROL S.A.,CUPIAGUA SUR,ECOP-SDLA-OP-DIRECTA,0,0,0,0,0,199.211,196.242,198.301,198.049,190.239,183.756,182.97
CASANARE,OROCUE,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CURITO,CASANARE ESTE,0.008,0.009,0.01,0.012,0.011,0.012,0.011,0.01,0.007,0.008,0.009,0.009
CASANARE,SAN LUIS DE PALENQUE,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CURITO,CASANARE ESTE,0.006,0.007,0.007,0.008,0.009,0.008,0.008,0.008,0.006,0.006,0.007,0.007
CASANARE,TAURAMENA,ECOPETROL S.A.,CUSIANA,RÍO CHITAMENA,45.402,49.17,49.47,49.518,49.555,0,0,0,0,0,0,0
CASANARE,TAURAMENA,ECOPETROL S.A.,CUSIANA,RÍO CHITAMENA,0,0,0,0,0,44.776,41.914,44.551,34.251,37.959,32.81,36.295
CASANARE,TAURAMENA,ECOPETROL S.A.,CUSIANA,TAURAMENA,148.574,144.844,138.808,131.046,131.907,0,0,0,0,0,0,0
CASANARE,TAURAMENA,ECOPETROL S.A.,CUSIANA,TAURAMENA,0,0,0,0,0,133.563,127.883,117.873,118.489,116.957,117.268,113.986
CASANARE,AGUAZUL,ECOPETROL S.A.,CUSIANA NORTE,CUSIANA NORTE,167.605,167.026,172.591,174.315,170.437,0,0,0,0,0,0,0
CASANARE,AGUAZUL,ECOPETROL S.A.,CUSIANA NORTE,CUSIANA NORTE,0,0,0,0,0,171.973,170.14,168.34,166.542,149.091,168.597,180.012
HUILA,AIPE,ECOPETROL S.A.,DINA CRETÁCEOS,PIJAO-POTRERILLO,0.291,0.296,0.25,0.245,0.233,0,0,0,0,0,0,0
HUILA,AIPE,ECOPETROL S.A.,DINA CRETÁCEOS,PIJAO-POTRERILLO,0,0,0,0,0,0.242,0.227,0.238,0.225,0.226,0.235,0.241
HUILA,AIPE,ECOPETROL S.A.,DINA NORTE,PIJAO-POTRERILLO,0,0,0,0,0,0,0,0,0,0.555,1.21,1.194
