Departamento,Municipio,Operadora,Campo,Contrato,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
CASANARE,PAZ DE ARIPORO,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,BEGONIA,LLA 40,0.138,0.137,0.124,0.119,0.101,0.066,0.076,0.075,0.055,0.055,0.052,0.053
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,BOLÍVAR,BUENAVISTA,0,0,0,0,0,0,0,0,0,0,0,0.229
BOYACA,TOPAGA,UNION TEMPORAL OMEGA ENERGY,BOLÍVAR,BUENAVISTA,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,BOLIVAR NORTH WEST,BUENAVISTA,0,0,1.334,4.643,4.067,4.197,4.524,4.305,4.621,4.548,3.906,3.535
SANTANDER,RIONEGRO,ECOPETROL S.A.,BONANZA,PROVINCIA P SUR,2.236,2.24,2.758,3.09,3.009,3.126,3.003,2.86,2.636,3.024,3.185,3.351
SUCRE,OVEJAS,HOCOL S.A.,BONGA,SAMAN,0,0,0,0,0,0,0,0,0,0,0,0.214
BOLIVAR,TALAIGUA NUEVO,ECOPETROL S.A.,BOQUETE,CICUCO BOQUETE,0.093,0.068,0.041,0.046,0.042,0.05,0.053,0.033,0,0.016,0.036,0.044
HUILA,AIPE,ECOPETROL S.A.,BRISAS,PIJAO-POTRERILLO,0.087,0.058,0.058,0.058,0.058,0.035,0.009,0.009,0.008,0.009,0.014,0.018
ATLANTICO,SABANALARGA,LEWIS ENERGY COLOMBIA INC,BULLERENGUE,SSJN-1,1.748,1.156,0.945,1.006,1.974,2.728,3.045,2.776,2.129,0.943,1.803,2.526
BOYACA,PUERTO BOYACA,ECOPETROL S.A.,CAIPAL,PALAGUA,0.235,0.246,0.273,0.312,0.329,0.312,0.341,0.353,0.333,0.306,0.371,0.362
CASANARE,TAURAMENA,VERANO ENERGY (BARBADOS) LIMITED,CALONA,LLA 32,0,0,0,1.034,2.341,3.077,3.236,3.175,3.558,3.503,3.557,3.678
CASANARE,MANI,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CAMPO RICO,CAMPO RICO,0.008,0.001,0,0,0,0,0,0,0,0,0,0
CASANARE,MONTERREY,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,Canaguay,CANAGUARO,0.828,1.045,1.136,1.211,1.163,0.914,0.853,0.361,0.039,0.675,1.017,1.049
CASANARE,TAURAMENA,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,Canaguay,CANAGUARO,0.054,0.003,0.003,0.003,0,0,0,0.002,0.136,0.092,0.071,0.067
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CANAGUEY,COSECHA,0.298,0.329,0.331,0.214,0.242,0.277,0.086,0.103,0.208,0.227,0.232,0.217
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CANDELILLA,GUATIQUIA,0.466,0.456,0.459,0.333,0.464,0.497,0.475,0.45,0.481,0.423,0.479,0.496
CORDOBA,SAHAGUN,GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,CAÑAFLECHA,ESPERANZA,0.007,0.009,0.007,0.007,0.008,0.006,0.006,0.007,0.007,0.008,0.007,0.007
CASANARE,SAN LUIS DE PALENQUE,PERENCO COLOMBIA LIMITED,CAÑO GANDUL,COROCORA,0.001,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CAÑO GARZA,CASANARE,0.001,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CAÑO GARZA ESTE,CASANARE,0.001,0,0,0,0,0,0,0,0,0,0,0
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CAÑO GARZA NORTE,CASANARE,0.003,0.001,0,0,0,0,0,0,0,0,0,0
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CAÑO LIMÓN,CRAVO NORTE,1.326,1.313,1.311,1.42,1.334,1.293,0.53,0.523,1.398,1.379,1.143,1.018
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CAÑO RONDÓN,RONDÓN,0.628,0.592,0.533,0.563,1.699,0.505,0.225,0.179,0.418,0.47,0.467,0.392
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CAÑO YARUMAL,CRAVO NORTE,0.284,0.255,0.253,0.265,0.255,0.256,0.098,0.097,0.257,0.263,0.209,0.179
CESAR,LA JAGUA IBIRICO,DRUMMOND LTD,CAPORO,LA LOMA,0.1,0.093,0.102,0.101,0.1,0.099,0.097,0.095,0.095,0.085,0.101,0.099
MAGDALENA,SANTA ANA,PACIFIC STRATUS ENERGY COLOMBIA CORP,CAPURE,E&P GUAMA,0,0,0,0,0,0,0,0.01,0,0,0,0
META,PUERTO GAITAN,CEPSA COLOMBIA S.A.,CARACARA SUR A,CARACARA,0.562,0.68,0.48,0.409,0.418,0.643,0.684,0.68,0.715,0.746,0.673,0.78
META,PUERTO GAITAN,CEPSA COLOMBIA S.A.,CARACARA SUR B Y C,CARACARA,0.374,0.439,0.303,0.236,0.239,0.315,0.345,0.299,0.265,0.264,0.246,0.257
CESAR,AGUACHICA,LEWIS ENERGY COLOMBIA INC,CARAMELO,VMM 1,1.677,1.595,1.596,0.98,0,0,0,0,1.765,2.433,2.479,2.885
PUTUMAYO,ORITO,ECOPETROL S.A.,CARIBE,ORITO,0.377,0.374,0.381,0.445,0.452,0.493,0.349,0.494,0.489,0.492,0.519,0.516
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CARICARE,RONDÓN,1.176,1.16,1.135,1.077,0,0.92,0.443,0.44,1.076,1.04,0.979,0.906
CASANARE,TAURAMENA,VERANO ENERGY (BARBADOS) LIMITED,CARMENTEA,LLA 32,1.985,1.581,0.255,0.246,0.219,0.19,0.174,0.128,0.109,0.125,0.114,0.109
CASANARE,PORE,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),CARUPANA,YAMU,0,0,0,0,0,0,0,0.003,0,0,0,0
CASANARE,VILLA NUEVA,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CARUTO,CORCEL,0.161,0.162,0.16,0.157,0.131,0.128,0.127,0.12,0.118,0.118,0.109,0.119
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,MAGDALENA MEDIO-CASABE,0.678,0.778,0.788,1.005,1.04,1.022,0.941,0.872,0.921,0.917,0.892,0.881
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE SUR,MAGDALENA MEDIO-CASABE,0.234,0.251,0.264,0.86,0.729,0.9,0.678,0.62,0.964,0.862,0.744,0.898
HUILA,NEIVA,ECOPETROL S.A.,CEBÚ,PIJAO-POTRERILLO,0.047,0.036,0.038,0.037,0.037,0.039,0.036,0.032,0.033,0.039,0.037,0.036
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CEIBO,GUATIQUIA,0.296,0.295,0.27,0.235,0.216,0.204,0.186,0.173,0.16,0.202,0.184,0.174
