DEPARTAMENTO,MUNICIPIO,COMPAÑÍA OPERADORA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
SANTANDER,SABANA DE TORRES,ECOPETROL,PLAYON,RUMBERO,0,0,0,0,0,0,0,0,0,4,17,15
SANTANDER,SABANA DE TORRES,ECOPETROL,PROVINCIA,PROVINCIA,21152,20887,19877,19648,19458,21722,21794,22640,1057,21638,23344,16958
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,EL PIÑAL,LIEBRE,130,129,126,132,136,165,130,142,128,144,119,112
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,CORAZON,526,429,429,376,325,392,455,433,383,350,446,426
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,CORAZON 9,62,64,61,62,58,60,0,62,0,0,0,0
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,CORAZON WEST,661,664,639,599,568,556,649,640,646,633,604,596
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,CORAZON WEST 4,128,121,119,112,113,88,0,97,0,0,0,0
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,LA SALINA,6467,6177,5907,5590,5625,5885,5074,4917,5091,5422,5338,5187
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,PAYOA,25173,25990,23616,22154,21102,20304,20590,20345,20776,20719,20108,17835
SANTANDER,SABANA DE TORRES,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,PAYOA WEST,4,4,4,4,4,4,4,4,4,4,4,3
SANTANDER,SAN VICENTE DE CHUCURI,ECOPETROL,DE MARES,COLORADO,234,239,181,113,28,0,0,0,0,0,0,0
SANTANDER,SAN VICENTE DE CHUCURI,ECOPETROL,DE MARES,LISAMA,3742,4169,4043,4156,4604,4012,3814,3835,3721,3485,3368,3098
SANTANDER,SAN VICENTE DE CHUCURI,ECOPETROL,DE MARES,LISAMA PROFUNDO,218,214,224,311,319,191,196,209,219,231,235,248
SANTANDER,SAN VICENTE DE CHUCURI,ECOPETROL,DE MARES,NUTRIA,3801,3615,3550,3575,3202,2849,2835,2934,2927,2889,2764,2841
SANTANDER,SAN VICENTE DE CHUCURI,ECOPETROL,DE MARES,PEROLES,158,108,87,73,83,80,62,103,95,98,112,100
SANTANDER,SAN VICENTE DE CHUCURI,ECOPETROL,DE MARES,TESORO,2066,1980,2087,1860,1794,1618,1758,1694,1722,1972,1606,1659
