Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CESAR,SAN MARTÍN,7.937788454,-73.54436312,POINT (-73.54436312 7.937788454),ECOPETROL S.A.,TISQUIRAMA,TISQUIRAMA,0.6,0.58,0.7,0.76,0.83,0.87,0.96,1.06,1.23,1.41,1.36,1.4
CESAR,SAN MARTÍN,7.937788454,-73.54436312,POINT (-73.54436312 7.937788454),GRAN TIERRA ENERGY COLOMBIA LTD,MIDAS,ACORDIONERO,14.3,13.44,15.68,17.72,16.49,9.73,6.09,5.47,4.06,4.57,6.76,8.21
CORDOBA,PUEBLO NUEVO,8.481339568,-75.40516154,POINT (-75.40516154 8.481339568),GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,ESPERANZA,NELSON,71.42,68.07,66.89,55.26,51.42,54.52,56.33,67.96,67.43,67.43,62.2,64.87
CORDOBA,PUEBLO NUEVO,8.481339568,-75.40516154,POINT (-75.40516154 8.481339568),GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,ESPERANZA,PALMER,7.09,6.79,3.69,5.07,6.57,8.72,10.18,13.23,12.66,11.44,10.01,16.97
CORDOBA,PUEBLO NUEVO,8.481339568,-75.40516154,POINT (-75.40516154 8.481339568),GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,VIM 21,TORONJA,2.27,1.68,2.92,2.94,2.58,3.83,3.3,3.95,3.71,4.06,4.3,3.99
CORDOBA,SAHAGUN,8.799007016,-75.42925664,POINT (-75.42925664 8.799007016),CNE OIL & GAS S A S,VIM 5,CLARINETE,19.06,18.13,13.77,9.94,4.87,10.91,10.04,14.38,11.06,13.54,14.62,22.04
CORDOBA,SAHAGUN,8.799007016,-75.42925664,POINT (-75.42925664 8.799007016),CNE OIL & GAS S A S,VIM 5,OBOE,0,0,0,0.29,0,0,0.04,0,2.65,0.07,0,0
CORDOBA,SAHAGUN,8.799007016,-75.42925664,POINT (-75.42925664 8.799007016),GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,ESPERANZA,ARIANNA,0.24,0.25,0.23,0.23,0.22,0.12,0.02,0.01,0.01,0.01,0.01,0.01
CORDOBA,SAHAGUN,8.799007016,-75.42925664,POINT (-75.42925664 8.799007016),GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,ESPERANZA,CAÑAFLECHA,0.01,0,0,0,0,0,0,0,0,0,0,0
CORDOBA,SAHAGUN,8.799007016,-75.42925664,POINT (-75.42925664 8.799007016),GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,ESPERANZA,CAÑAHUATE,0,0,0.05,6.46,0.81,7.13,6.93,5.43,3.88,3.1,3.25,2.38
CORDOBA,SAHAGUN,8.799007016,-75.42925664,POINT (-75.42925664 8.799007016),GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,ESPERANZA,KATANA,0.12,0,0,0.01,0,0,0,0,0,0,0,0
CUNDINAMARCA,GUADUAS,5.173554764,-74.64014651,POINT (-74.64014651 5.173554764),Frontera Energy Colombia Corp Sucursal Colombia,DINDAL,GUADUAS,1.03,0.98,0.98,0.97,0.97,0.94,0.94,0.94,0.97,0.98,0.98,0.98
CUNDINAMARCA,PULI,4.691336253,-74.68074404,POINT (-74.68074404 4.691336253),HOCOL S.A.,PULI,PULI,0.34,0.37,0.32,0.32,0.26,0.32,0.38,0.4,0.39,0.39,0.24,0.24
DEPARTAMENTO NN,MUNICIPIO NN,4.691336253,-74.68074404,POINT (-74.68074404 4.691336253),ECOPETROL S.A.,SIRIRI,GIBRALTAR,30.09,31.51,35.74,42.36,42.47,28.21,21.19,39.96,42.48,39.07,36.02,37.56
GUAJIRA,MANAURE,11.60554263,-72.57160392,POINT (-72.57160392 11.60554263),CHEVRON PETROLEUM COMPANY,GUAJIRA,BALLENA,25.15,25.9,19.24,21.97,23.33,23.72,22.5,22.67,25.62,27.06,24.11,17.18
GUAJIRA,MANAURE,11.60554263,-72.57160392,POINT (-72.57160392 11.60554263),CHEVRON PETROLEUM COMPANY,GUAJIRA,CHUCHUPA,185.36,180.32,171.66,169.35,161.02,170.35,156.12,155.9,164.71,162.08,154.53,125.93
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PALERMO,BALCÓN,0.35,0.38,0.39,0.36,0.35,0.36,0.39,0.39,0.41,0.37,0.37,0.33
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PIJAO-POTRERILLO,ARRAYÁN,0.29,0.3,0.25,0.25,0.27,0.26,0.26,0.26,0.27,0.27,0.27,0.29
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PIJAO-POTRERILLO,BRISAS,0.05,0.03,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.05
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PIJAO-POTRERILLO,DINA CRETÁCEOS,0.28,0.24,0.19,0.2,0.2,0.2,0.22,0.22,0.22,0.23,0.21,0.24
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PIJAO-POTRERILLO,DINA NORTE,0.24,0.31,0.33,0.35,0.32,0.53,0.79,0.77,0.75,0.9,0.88,0.69
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PIJAO-POTRERILLO,DINA TERCIARIOS,1.21,1.37,1.31,1.18,1.17,1.02,0.99,1.09,1.08,1.08,1.08,1.06
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PIJAO-POTRERILLO,TEMPRANILLO,0.47,0.42,0.12,0.24,0.28,0.23,0.26,0.32,0.23,0.08,0.18,0.18
HUILA,AIPE,3.243441923,-75.27670655,POINT (-75.27670655 3.243441923),ECOPETROL S.A.,PIJAO-POTRERILLO,TEMPRANILLO NORTE,0.22,0.21,0.16,0.13,0.19,0.24,0.26,0.19,0.24,0.21,0.06,0.13
