Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,P1 ENERGY DELTA CORP. SUCURSAL COLOMBIA,TAURAMENA,E&P LLANOS 32,KANANASKIS,0,0,0,0.13,0,0,0,0,0,0,1.59,0
CASANARE,PACIFIC STRATUS ENERGY,PAZ DE ARIPORO,E&E ARRENDAJO,AZOR,0.01,0.01,0,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01
CASANARE,PACIFIC STRATUS ENERGY,PAZ DE ARIPORO,E&E ARRENDAJO,YAGUAZO,0,0,0,0,0,0,0,0,0,0.56,0,0.01
CASANARE,PAREX RESOURCES COLOMBIA LTD,AGUAZUL,EL EDEN PAREX,LA CASONA,1.64,1.73,1.85,1.93,2.24,2.6,2.42,1.95,3.24,3.38,3.1,2.16
CASANARE,PAREX RESOURCES COLOMBIA LTD,AGUAZUL,EL EDEN PAREX,RUMI,0.02,0,0,0,0,0,0,0,0,0.25,0.27,0
CASANARE,PAREX RESOURCES COLOMBIA LTD,PAZ DE ARIPORO,E&P LLANOS 40,BEGONIA,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0.05
CASANARE,PAREX RESOURCES COLOMBIA LTD,PORE,E&P Llanos 16 Contrato # 45,KONA,0.44,0.41,0.41,0.36,0.39,0.4,0.35,0.32,0.3,0.27,0.25,0.3
CASANARE,PAREX RESOURCES COLOMBIA LTD,SAN LUIS DE PALENQUE,E&P LLANOS 30,ADALIA,0.01,0,0,0,0,0.01,0.02,0,0.03,0.01,0.01,0.01
CASANARE,PAREX RESOURCES COLOMBIA LTD,SAN LUIS DE PALENQUE,E&P LOS OCARROS PAREX,LAS MARACAS,2.03,2.21,2.26,2.77,2.62,2.54,2.16,1.8,1.55,1.9,1.85,1.32
CASANARE,PAREX RESOURCES COLOMBIA LTD,VILLA NUEVA,CABRESTERO PAREX,KITARO,0,0,0,0,0,0,0,0,0,0,0.06,0.12
CASANARE,PAREX RESOURCES COLOMBIA LTD,YOPAL,EL EDEN PAREX,RUMI,0,0,0,0,0,0,0,0,0,0,0,0.06
