Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
TOLIMA,ECOPETROL ALTO MAGDALENA,ORTEGA,ORTEGA,TOY,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TOLIMA,ECOPETROL ALTO MAGDALENA,PURIFICACIÓN,CHENCHE CDND/I-ECOPETROL,CHENCHE,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.03,0.03
TOLIMA,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,PIEDRAS,AMBROSIA,AMBROSIA,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TOLIMA,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,PIEDRAS,MANA,MANA,4.3,4.46,3.99,3.95,3.92,4.24,4.39,4.53,4.52,4.4,4.19,4.1
TOLIMA,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,PIEDRAS,PULI,TOQUI-TOQUI,1.2,1.11,1.23,0,1.2,1.18,1.22,1.24,1.26,1.26,1.28,1.25
TOLIMA,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,PIEDRAS,RIO OPIA,RIO OPIA,0.16,0.16,0.15,0.15,0.12,0.13,0.13,0.14,0.13,0.07,0.14,0.12
TOLIMA,KAPPA RESOURCES COLOMBIA LTD.,ESPINAL,ABANICO,ABANICO,0.45,0.46,0.44,0.41,0.42,0.41,0,0.32,0.29,0.3,0.33,0.33
TOLIMA,PERENCO COLOMBIA LIMITED,MELGAR,BOQUERON,GUANDO,1.52,1.42,1.38,1.25,1.27,1.32,1.34,1.38,1.42,1.39,1.34,1.37
TOLIMA,PERENCO COLOMBIA LIMITED,MELGAR,BOQUERON,GUANDO SW,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.14,0.23,0.21,0.27
TOLIMA,PERENCO COLOMBIA LIMITED,PURIFICACIÓN,ESPINAL,MATACHIN NORTE,3.14,2.94,2.44,2.63,2.98,3.04,3.26,3.47,3.75,3.69,3.41,3.24
TOLIMA,PERENCO COLOMBIA LIMITED,PURIFICACIÓN,ESPINAL,MATACHIN SUR,3.42,3.38,3.05,2.5,2.07,2.26,2.29,2.14,1.95,1.64,1.8,1.61
TOLIMA,PERENCO COLOMBIA LIMITED,PURIFICACIÓN,ESPINAL,PURIFICACION,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.1,0.09,0.08
TOLIMA,PETROTESTING  COLOMBIA S.A.,CHAPARRAL,TOLIMA - B,RIO SALDAÑA,0.02,0,0,0,0,0,0,0,0,0,0,0
