Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),ECOPETROL S.A.,AREA TECA-COCORNA,TECA COCORNA,0.26875,0.28082,0.28249,0.17593,0.14827,0.12886,0.12661,0.14582,0.13371,0.1535,0.16032,0.15198
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE SUR,NARE,0.04317,0.04236,0.03968,0.04256,0.03922,0.04308,0.04498,0.03692,0.04207,0.03917,0.00812,0.01365
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,UNDERRIVER,NARE,0.1662,0.17403,0.15673,0.17453,0.15072,0.16928,0.15835,0.14151,0.12071,0.16803,0.06886,0.11263
ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),ECOPETROL S.A.,AREA TECA-COCORNA,TECA COCORNA,0.03666,0.03514,0.02448,0.06507,0.05484,0.04766,0.04683,0.05393,0.04946,0.05678,0.0593,0.05621
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,CASABE,MAGDALENA MEDIO-CASABE,0.47903,0.46218,0.39526,0.35935,0.40907,0.47811,0.43666,0.47269,0.45607,0.48623,0.44965,0.48276
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,CASABE SUR,MAGDALENA MEDIO-CASABE,0.74925,0.69057,0.72372,0.70994,0.66136,0.66038,0.63614,0.61039,0.64691,0.66383,0.68241,0.62496
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,PEÑAS BLANCAS,MAGDALENA MEDIO-CASABE,0.21823,0.13947,0.17113,0.1498,0.16593,0.16845,0.17184,0.15567,0.13416,0.14384,0.12919,0.06978
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CAÑO LIMÓN,CRAVO NORTE,1.46446,1.15652,1.03515,1.05805,1.10896,1.1355,1.11083,1.23408,1.23138,1.24803,1.25812,1.25826
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CAÑO YARUMAL,CRAVO NORTE,0.20687,0.18735,0.15385,0.11024,0.12438,0.15254,0.13777,0.15717,0.1562,0.15139,0.15047,0.14456
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,CHIPIRÓN,0.41802,0.40112,0.38973,0.35975,0.42887,0.40091,0.41938,0.36565,0.42358,0.41679,0.35801,0.36504
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,GALEMBO,CHIPIRÓN,0.00803,0.00816,0.00825,0.00791,0.00772,0.00679,0.0069,0.00562,0.00569,0.00566,0.0038,0.00455
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,MACANA,CHIPIRÓN,0.01305,0.01264,0.01099,0.01126,0.01198,0.01181,0.01188,0.01258,0.01261,0.01272,0.01311,0
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,ARAGUATO,CHIPIRÓN,0.00466,0.00476,0.00483,0.00487,0.00495,0.00456,0.00463,0.00471,0.00513,0.00543,0.00477,0.00492
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,BAYONERO,CHIPIRÓN,0.02725,0.02449,0.02082,0.01856,0.01889,0.01777,0.01821,0.01886,0.01922,0.0173,0.0517,0.0336
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CANAGUEY,COSECHA,0.09551,0.09831,0.1013,0.10425,0.10667,0.11424,0.10515,0.10767,0.09109,0.08783,0.18536,0.18613
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CAÑO LIMÓN,CRAVO NORTE,0.09449,0.10085,0.0948,0.07812,0.08383,0.09113,0.09227,0.09761,0.10023,0.10427,0.09288,0.09501
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CAÑO RONDÓN,RONDÓN,0.6017,0.55487,0.56465,0.58265,0.56515,0.49144,0.58877,0.47681,0.46968,0.59465,0.37854,0.37849
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CARICARE,RONDÓN,1.32855,1.17051,1.27934,1.2314,1.35967,1.5474,1.53035,1.48904,1.50961,1.48808,1.38014,1.46236
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,CHIPIRÓN,0.00692,0.00696,0.00707,0.00699,0.00644,0.00595,0.006,0.05926,0.00649,0.00692,0.00615,0.0063
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,FINN,COSECHA,0.58121,0.52303,0.5448,0.49133,0.46013,0.42201,0.28905,0.11726,0.34747,0.40291,0.40819,0.40769
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,JIBA,CHIPIRÓN,0.00355,0.00015,0.00045,0.00121,0.00141,0.00349,0.00356,0.0037,0.00385,0.00285,0.00238,0.00247
